Country,Year,Happiness score,Whisker-high,Whisker-low,Dystopia (1.83) + residual,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption
Finland,2022,7.821,7.886,7.756,2.518,1.892,1.258,0.775,0.736,0.109,0.534
Denmark,2022,7.636,7.710,7.563,2.226,1.953,1.243,0.777,0.719,0.188,0.532
Iceland,2022,7.557,7.651,7.464,2.320,1.936,1.320,0.803,0.718,0.270,0.191
Switzerland,2022,7.512,7.586,7.437,2.153,2.026,1.226,0.822,0.677,0.147,0.461
Netherlands,2022,7.415,7.471,7.359,2.137,1.945,1.206,0.787,0.651,0.271,0.419
Luxembourg*,2022,7.404,7.501,7.307,2.042,2.209,1.155,0.790,0.700,0.120,0.388
Sweden,2022,7.384,7.454,7.315,2.003,1.920,1.204,0.803,0.724,0.218,0.512
Norway,2022,7.365,7.440,7.290,1.925,1.997,1.239,0.786,0.728,0.217,0.474
Israel,2022,7.364,7.426,7.301,2.634,1.826,1.221,0.818,0.568,0.155,0.143
New Zealand,2022,7.200,7.279,7.120,1.954,1.852,1.235,0.752,0.680,0.245,0.483
Austria,2022,7.163,7.237,7.089,2.148,1.931,1.165,0.774,0.623,0.193,0.329
Australia,2022,7.162,7.244,7.081,2.011,1.900,1.203,0.772,0.676,0.258,0.341
Ireland,2022,7.041,7.121,6.961,1.743,2.129,1.166,0.779,0.627,0.190,0.408
Germany,2022,7.034,7.122,6.947,2.142,1.924,1.088,0.776,0.585,0.163,0.358
Canada,2022,7.025,7.107,6.943,1.924,1.886,1.188,0.783,0.659,0.217,0.368
United States,2022,6.977,7.065,6.888,2.214,1.982,1.182,0.628,0.574,0.220,0.177
United Kingdom,2022,6.943,7.018,6.867,1.967,1.867,1.143,0.750,0.597,0.289,0.329
Czechia,2022,6.920,7.029,6.811,2.263,1.815,1.260,0.715,0.660,0.158,0.048
Belgium,2022,6.805,6.890,6.720,2.283,1.907,1.106,0.764,0.492,0.049,0.204
France,2022,6.687,6.758,6.615,1.895,1.863,1.219,0.808,0.567,0.070,0.266
Bahrain,2022,6.647,6.779,6.514,2.092,1.854,1.029,0.625,0.693,0.199,0.155
Slovenia,2022,6.630,6.718,6.542,1.885,1.810,1.249,0.769,0.685,0.118,0.115
Costa Rica,2022,6.582,6.683,6.481,2.346,1.584,1.054,0.744,0.661,0.089,0.102
United Arab Emirates,2022,6.576,6.660,6.492,1.809,1.998,0.980,0.633,0.702,0.204,0.250
Saudi Arabia,2022,6.523,6.637,6.409,2.075,1.870,1.092,0.577,0.651,0.078,0.180
Taiwan Province of China,2022,6.512,6.596,6.429,2.002,1.897,1.095,0.733,0.542,0.075,0.168
Singapore,2022,6.480,6.569,6.392,0.932,2.149,1.127,0.851,0.672,0.163,0.587
Romania,2022,6.477,6.575,6.379,2.446,1.719,1.006,0.655,0.605,0.039,0.006
Spain,2022,6.476,6.560,6.392,1.893,1.808,1.211,0.808,0.505,0.101,0.149
Uruguay,2022,6.474,6.562,6.386,1.974,1.615,1.180,0.672,0.665,0.103,0.265
Italy,2022,6.467,6.570,6.363,2.222,1.834,1.052,0.801,0.412,0.085,0.059
Kosovo,2022,6.455,6.571,6.339,2.631,1.362,0.949,0.569,0.599,0.309,0.035
Malta,2022,6.447,6.535,6.359,1.631,1.838,1.169,0.789,0.679,0.174,0.166
Lithuania,2022,6.446,6.535,6.356,2.153,1.804,1.204,0.659,0.496,0.053,0.077
Slovakia,2022,6.391,6.475,6.306,2.094,1.736,1.232,0.707,0.479,0.118,0.025
Estonia,2022,6.341,6.415,6.266,1.442,1.793,1.232,0.728,0.689,0.123,0.333
Panama,2022,6.309,6.464,6.154,2.086,1.715,1.107,0.709,0.592,0.049,0.051
Brazil,2022,6.293,6.384,6.202,2.361,1.462,1.044,0.615,0.546,0.131,0.134
Guatemala*,2022,6.262,6.460,6.064,2.746,1.274,0.831,0.522,0.662,0.112,0.115
Kazakhstan,2022,6.234,6.330,6.138,1.860,1.668,1.220,0.611,0.584,0.134,0.157
Cyprus,2022,6.221,6.320,6.122,2.044,1.815,0.909,0.819,0.448,0.123,0.062
Latvia,2022,6.180,6.255,6.106,1.923,1.732,1.221,0.637,0.502,0.075,0.090
Serbia,2022,6.178,6.294,6.062,2.031,1.550,1.086,0.658,0.546,0.219,0.088
Chile,2022,6.172,6.262,6.082,2.040,1.651,1.080,0.748,0.460,0.124,0.069
Nicaragua,2022,6.165,6.312,6.017,2.418,1.105,1.029,0.617,0.617,0.168,0.212
Mexico,2022,6.128,6.238,6.017,2.239,1.552,0.886,0.623,0.621,0.092,0.115
Croatia,2022,6.125,6.229,6.022,1.884,1.705,1.183,0.709,0.535,0.109,0.000
Poland,2022,6.123,6.205,6.040,1.693,1.758,1.174,0.712,0.523,0.124,0.140
El Salvador,2022,6.120,6.250,5.990,2.514,1.265,0.768,0.607,0.666,0.089,0.212
Kuwait*,2022,6.106,6.235,5.977,1.621,1.904,0.983,0.747,0.617,0.087,0.147
Hungary,2022,6.086,6.187,5.985,1.812,1.748,1.233,0.668,0.485,0.078,0.064
Mauritius,2022,6.071,6.184,5.958,1.969,1.591,1.116,0.568,0.589,0.131,0.107
Uzbekistan,2022,6.063,6.178,5.948,1.913,1.219,1.092,0.600,0.716,0.283,0.240
Japan,2022,6.039,6.119,5.959,1.487,1.835,1.089,0.866,0.537,0.007,0.218
Honduras,2022,6.022,6.189,5.855,2.611,1.111,0.885,0.555,0.582,0.202,0.076
Portugal,2022,6.016,6.122,5.911,1.691,1.760,1.078,0.777,0.655,0.016,0.039
Argentina,2022,5.967,6.090,5.844,1.891,1.592,1.102,0.662,0.555,0.081,0.085
Greece,2022,5.948,6.043,5.853,2.119,1.703,0.980,0.774,0.249,0.015,0.108
South Korea,2022,5.935,6.021,5.849,1.656,1.851,0.886,0.841,0.414,0.111,0.176
Philippines,2022,5.904,6.007,5.800,2.283,1.268,0.912,0.514,0.678,0.107,0.142
Thailand,2022,5.891,5.994,5.788,1.600,1.535,1.096,0.697,0.617,0.321,0.026
Moldova,2022,5.857,5.948,5.766,2.142,1.417,1.008,0.597,0.561,0.102,0.028
Jamaica,2022,5.850,6.023,5.676,2.164,1.296,1.045,0.646,0.567,0.080,0.053
Kyrgyzstan,2022,5.828,5.916,5.741,2.087,1.069,1.109,0.638,0.693,0.208,0.025
Belarus*,2022,5.821,5.950,5.693,1.811,1.562,1.157,0.629,0.342,0.040,0.282
Colombia,2022,5.781,5.903,5.659,1.971,1.452,0.929,0.720,0.545,0.087,0.077
Bosnia and Herzegovina,2022,5.768,5.877,5.659,1.869,1.468,1.068,0.665,0.448,0.244,0.006
Mongolia,2022,5.761,5.845,5.676,1.999,1.393,1.197,0.467,0.398,0.247,0.059
Dominican Republic,2022,5.737,5.873,5.601,1.751,1.538,1.003,0.577,0.606,0.084,0.179
Malaysia,2022,5.711,5.845,5.578,1.471,1.689,0.938,0.620,0.654,0.213,0.126
Bolivia,2022,5.600,5.709,5.491,2.107,1.256,0.880,0.555,0.627,0.112,0.064
China,2022,5.585,5.650,5.520,1.516,1.508,0.958,0.705,0.656,0.099,0.142
Paraguay,2022,5.578,5.689,5.467,1.555,1.409,1.130,0.624,0.629,0.171,0.059
Peru,2022,5.559,5.679,5.439,1.890,1.397,0.865,0.735,0.545,0.090,0.037
Montenegro,2022,5.547,5.681,5.413,1.619,1.573,1.023,0.659,0.460,0.135,0.077
Ecuador,2022,5.533,5.653,5.414,1.866,1.352,0.879,0.708,0.565,0.080,0.083
Vietnam,2022,5.485,5.570,5.400,1.735,1.252,0.932,0.611,0.707,0.143,0.105
Turkmenistan*,2022,5.474,5.578,5.371,1.160,1.484,1.319,0.516,0.649,0.314,0.032
North Cyprus*,2022,5.467,5.609,5.325,1.078,1.815,0.888,0.819,0.523,0.130,0.213
Russia,2022,5.459,5.525,5.392,1.494,1.685,1.095,0.586,0.401,0.117,0.080
Hong Kong S.A.R. of China,2022,5.425,5.501,5.348,0.642,1.957,0.954,0.942,0.400,0.147,0.383
Armenia,2022,5.399,5.519,5.278,1.654,1.434,0.820,0.668,0.558,0.054,0.210
Tajikistan,2022,5.377,5.468,5.287,1.895,0.966,1.005,0.518,0.572,0.118,0.304
Nepal,2022,5.377,5.502,5.251,2.224,0.984,0.784,0.499,0.519,0.237,0.130
Bulgaria,2022,5.371,5.485,5.257,1.235,1.625,1.163,0.640,0.563,0.123,0.021
Libya*,2022,5.330,5.543,5.118,1.544,1.476,0.943,0.606,0.477,0.106,0.179
Indonesia,2022,5.240,5.341,5.139,1.300,1.382,0.883,0.539,0.620,0.468,0.047
Ivory Coast,2022,5.235,5.384,5.085,2.652,1.094,0.442,0.322,0.451,0.149,0.124
North Macedonia,2022,5.199,5.303,5.095,1.461,1.505,0.863,0.637,0.488,0.215,0.031
Albania,2022,5.199,5.321,5.076,1.718,1.439,0.646,0.719,0.511,0.138,0.028
South Africa,2022,5.194,5.315,5.073,1.742,1.425,1.088,0.361,0.442,0.089,0.046
Azerbaijan*,2022,5.173,5.265,5.082,1.098,1.458,1.093,0.560,0.601,0.023,0.341
Gambia*,2022,5.164,5.409,4.918,2.531,0.785,0.621,0.369,0.367,0.388,0.103
Bangladesh,2022,5.155,5.262,5.049,1.967,1.060,0.614,0.581,0.622,0.125,0.187
Laos,2022,5.140,5.263,5.018,1.709,1.239,0.654,0.479,0.679,0.197,0.184
Algeria,2022,5.122,5.215,5.030,1.744,1.363,0.970,0.643,0.146,0.106,0.150
Liberia*,2022,5.122,5.428,4.815,2.844,0.636,0.670,0.309,0.405,0.178,0.080
Ukraine,2022,5.084,5.190,4.978,1.331,1.411,1.081,0.583,0.473,0.188,0.017
Congo,2022,5.075,5.235,4.915,2.658,0.950,0.405,0.355,0.431,0.130,0.146
Morocco,2022,5.060,5.181,4.938,2.405,1.208,0.268,0.565,0.492,0.020,0.102
Mozambique,2022,5.048,5.273,4.823,2.641,0.578,0.660,0.191,0.593,0.185,0.200
Cameroon,2022,5.048,5.188,4.907,2.469,0.968,0.672,0.317,0.397,0.152,0.074
Senegal,2022,5.046,5.171,4.921,2.419,0.933,0.530,0.447,0.494,0.143,0.081
Niger*,2022,5.003,5.247,4.760,2.667,0.570,0.560,0.326,0.571,0.165,0.145
Georgia,2022,4.973,5.079,4.867,1.583,1.467,0.612,0.595,0.508,0.000,0.208
Gabon,2022,4.958,5.091,4.826,1.892,1.459,0.738,0.396,0.343,0.032,0.099
Iraq,2022,4.941,5.099,4.783,1.894,1.289,0.682,0.554,0.328,0.147,0.046
Venezuela,2022,4.925,5.051,4.800,2.790,0.000,0.968,0.578,0.283,0.225,0.082
Guinea,2022,4.891,5.028,4.753,2.538,0.848,0.566,0.275,0.334,0.214,0.116
Iran,2022,4.888,4.995,4.780,1.427,1.410,0.741,0.642,0.281,0.241,0.146
Ghana,2022,4.872,4.999,4.745,1.972,1.112,0.595,0.409,0.500,0.230,0.056
Turkey,2022,4.744,4.845,4.644,1.059,1.707,0.865,0.702,0.209,0.087,0.115
Burkina Faso,2022,4.670,4.814,4.527,2.313,0.779,0.565,0.320,0.382,0.186,0.126
Cambodia,2022,4.640,4.765,4.516,1.410,1.019,0.732,0.505,0.740,0.166,0.068
Benin,2022,4.623,4.754,4.492,2.458,0.932,0.064,0.335,0.479,0.127,0.230
Comoros*,2022,4.609,4.849,4.368,2.304,0.899,0.476,0.424,0.185,0.195,0.125
Uganda,2022,4.603,4.747,4.459,1.842,0.777,0.875,0.418,0.402,0.222,0.066
Nigeria,2022,4.552,4.651,4.453,1.784,1.079,0.732,0.300,0.444,0.175,0.038
